species_code,sci_name,order,family
bkcvir1,Vireo atricapilla,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
gryvir,Vireo vicinior,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
blmvir1,Vireo osburni,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
y00484,Vireo cassinii/plumbeus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
solvir1,Vireo cassinii/solitarius/plumbeus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
warvir,Vireo gilvus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
phivir,Vireo philadelphicus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
bkwvir,Vireo altiloquus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
yucvir,Vireo magister,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
lecgre2,Hylophilus thoracicus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
gycgre1,Hylophilus semicinereus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
scrgre1,Hylophilus flavipes,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
oligre1,Hylophilus olivaceus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
lesgre1,Pachysylvia decurtata,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
rubpep2,Cyclarhis gujanensis [gujanensis Group],Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
datori1,Oriolus xanthonotus,Passeriformes,Oriolidae (Old World Orioles)
satori1,Oriolus crassirostris,Passeriformes,Oriolidae (Old World Orioles)
wbhori1,Oriolus brachyrynchus,Passeriformes,Oriolidae (Old World Orioles)
dahori1,Oriolus monacha,Passeriformes,Oriolidae (Old World Orioles)
blhori1,Oriolus xanthornus,Passeriformes,Oriolidae (Old World Orioles)
marori2,Oriolus traillii,Passeriformes,Oriolidae (Old World Orioles)
fotdro1,Dicrurus adsimilis,Passeriformes,Dicruridae (Drongos)
comdro1,Dicrurus fuscipennis,Passeriformes,Dicruridae (Drongos)
ashdro1,Dicrurus leucophaeus,Passeriformes,Dicruridae (Drongos)
crbdro1,Dicrurus annectans,Passeriformes,Dicruridae (Drongos)
hacdro1,Dicrurus hottentottus,Passeriformes,Dicruridae (Drongos)
ritdro1,Dicrurus megarhynchus,Passeriformes,Dicruridae (Drongos)
spadro1,Dicrurus bracteatus,Passeriformes,Dicruridae (Drongos)
grtdro1,Dicrurus paradiseus,Passeriformes,Dicruridae (Drongos)
blufan1,Rhipidura superciliaris,Passeriformes,Rhipiduridae (Fantails)
spbfan1,Rhipidura albogularis,Passeriformes,Rhipiduridae (Fantails)
piefan1,Rhipidura javanica,Passeriformes,Rhipiduridae (Fantails)
spofan1,Rhipidura perlata,Passeriformes,Rhipiduridae (Fantails)
brcfan1,Rhipidura diluta,Passeriformes,Rhipiduridae (Fantails)
citfan1,Rhipidura fuscorufa,Passeriformes,Rhipiduridae (Fantails)
wbtfan1,Rhipidura leucothorax,Passeriformes,Rhipiduridae (Fantails)
brofan1,Rhipidura drownei,Passeriformes,Rhipiduridae (Fantails)
renfan1,Rhipidura rennelliana,Passeriformes,Rhipiduridae (Fantails)
nezfan1,Rhipidura fuliginosa,Passeriformes,Rhipiduridae (Fantails)
ruffan2,Rhipidura teysmanni,Passeriformes,Rhipiduridae (Fantails)
palfan1,Rhipidura lepida,Passeriformes,Rhipiduridae (Fantails)
matfan1,Rhipidura matthiae,Passeriformes,Rhipiduridae (Fantails)
malfan1,Rhipidura malaitae,Passeriformes,Rhipiduridae (Fantails)
pohfan1,Rhipidura kubaryi,Passeriformes,Rhipiduridae (Fantails)
afcfly1,Trochocercus cyanomelas,Passeriformes,Monarchidae (Monarch Flycatchers)
cepfly1,Eutrichomyias rowleyi,Passeriformes,Monarchidae (Monarch Flycatchers)
japfly1,Terpsiphone atrocaudata,Passeriformes,Monarchidae (Monarch Flycatchers)
blpfly1,Terpsiphone cyanescens,Passeriformes,Monarchidae (Monarch Flycatchers)
elepai,Chasiempis sandwichensis,Passeriformes,Monarchidae (Monarch Flycatchers)
vanmon1,Mayrornis schistaceus,Passeriformes,Monarchidae (Monarch Flycatchers)
trumon1,Metabolus rugensis,Passeriformes,Monarchidae (Monarch Flycatchers)
rufmon1,Symposiachrus rubiensis,Passeriformes,Monarchidae (Monarch Flycatchers)
boumon1,Monarcha erythrostictus,Passeriformes,Monarchidae (Monarch Flycatchers)
loemon1,Carterornis castus,Passeriformes,Monarchidae (Monarch Flycatchers)
spemon1,Symposiachrus trivirgatus,Passeriformes,Monarchidae (Monarch Flycatchers)
whtmon2,Symposiachrus everetti,Passeriformes,Monarchidae (Monarch Flycatchers)
bltmon2,Symposiachrus loricatus,Passeriformes,Monarchidae (Monarch Flycatchers)
yapmon1,Monarcha godeffroyi,Passeriformes,Monarchidae (Monarch Flycatchers)
tinmon1,Monarcha takatsukasae,Passeriformes,Monarchidae (Monarch Flycatchers)
frnmon1,Arses lorealis,Passeriformes,Monarchidae (Monarch Flycatchers)
torlar1,Grallina bruijnii,Passeriformes,Monarchidae (Monarch Flycatchers)
pohfly1,Myiagra pluto,Passeriformes,Monarchidae (Monarch Flycatchers)
biafly1,Myiagra atra,Passeriformes,Monarchidae (Monarch Flycatchers)
melfly1,Myiagra caledonica,Passeriformes,Monarchidae (Monarch Flycatchers)
brbfly1,Myiagra ruficollis,Passeriformes,Monarchidae (Monarch Flycatchers)
dulfly1,Myiagra hebetior,Passeriformes,Monarchidae (Monarch Flycatchers)
sibjay1,Perisoreus infaustus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
gryjay,Perisoreus canadensis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
stejay3,Cyanocitta stelleri [coronata Group],Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
bxgjay1,Cyanocorax yncas x Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
grnjay2,Cyanocorax yncas [yncas Group],Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
yucjay1,Cyanocorax yucatanicus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
pubjay1,Cyanocorax beecheii,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
azujay1,Cyanocorax caeruleus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
blcjay2,Cyanolyca armillata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
turjay1,Cyanolyca turcosa,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
azhjay1,Cyanolyca cucullata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
dwajay1,Cyanolyca nanus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
whtjay1,Cyanolyca mirabilis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
wooscj1,Aphelocoma woodhouseii [woodhouseii Group],Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
formag1,Urocissa caerulea,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
gobmag1,Urocissa flavirostris,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
whwmag1,Urocissa whiteheadi,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
grytre1,Dendrocitta formosae,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
whbtre1,Dendrocitta leucogastra,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
coltre1,Dendrocitta frontalis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
rattre2,Temnurus temnurus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
rebcho1,Pyrrhocorax pyrrhocorax,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
eurjac,Corvus monedula,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
houcro1,Corvus splendens,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
slbcro1,Corvus enca,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
grycro1,Corvus tristis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
rook1,Corvus frugilegus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
y00486,Corvus brachyrhynchos/caurinus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
hoocro1,Corvus cornix,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
ausrav1,Corvus coronoides,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
litrav1,Corvus mellori,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
colcro1,Corvus torquatus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
brnrav1,Corvus ruficollis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
apostl1,Struthidea cinerea,Passeriformes,Corcoracidae (White-winged Chough and Apostlebird)
parcro1,Lycocorax pyrrhopterus,Passeriformes,Paradisaeidae (Birds-of-Paradise)
cucman1,Manucodia comrii,Passeriformes,Paradisaeidae (Birds-of-Paradise)
splast1,Astrapia splendidissima,Passeriformes,Paradisaeidae (Birds-of-Paradise)
ritast1,Astrapia mayeri,Passeriformes,Paradisaeidae (Birds-of-Paradise)
lawpar1,Parotia lawesii,Passeriformes,Paradisaeidae (Birds-of-Paradise)
parrif1,Ptiloris paradiseus,Passeriformes,Paradisaeidae (Birds-of-Paradise)
vicrif1,Ptiloris victoriae,Passeriformes,Paradisaeidae (Birds-of-Paradise)
blasic1,Epimachus fastosus,Passeriformes,Paradisaeidae (Birds-of-Paradise)
pabsic1,Drepanornis bruijnii,Passeriformes,Paradisaeidae (Birds-of-Paradise)
mbopar2,Cicinnurus magnificus,Passeriformes,Paradisaeidae (Birds-of-Paradise)
bbopar1,Paradisaea rudolphi,Passeriformes,Paradisaeidae (Birds-of-Paradise)
jacwin1,Microeca fascinans,Passeriformes,Petroicidae (Australasian Robins)
olifly3,Microeca flavovirescens,Passeriformes,Petroicidae (Australasian Robins)
garrob1,Eugerygone rubra,Passeriformes,Petroicidae (Australasian Robins)
snmrob1,Petroica archboldi,Passeriformes,Petroicidae (Australasian Robins)
tomtit1,Petroica macrocephala,Passeriformes,Petroicidae (Australasian Robins)
flarob1,Petroica phoenicea,Passeriformes,Petroicidae (Australasian Robins)
pinrob1,Petroica rodinogaster,Passeriformes,Petroicidae (Australasian Robins)
hoorob1,Melanodryas cucullata,Passeriformes,Petroicidae (Australasian Robins)
yelrob1,Eopsaltria australis,Passeriformes,Petroicidae (Australasian Robins)
manrob1,Eopsaltria pulverulenta,Passeriformes,Petroicidae (Australasian Robins)
blcrob1,Poecilodryas brachyura,Passeriformes,Petroicidae (Australasian Robins)
whrrob2,Peneothello bimaculata,Passeriformes,Petroicidae (Australasian Robins)
gyhrob1,Heteromyias albispecularis,Passeriformes,Petroicidae (Australasian Robins)
damroc1,Achaetops pycnopygius,Passeriformes,Macrosphenidae (African Warblers)
orbroc1,Chaetops aurantius,Passeriformes,Chaetopidae (Rockjumpers)
jerbus2,Mirafra affinis,Passeriformes,Alaudidae (Larks)
burbus1,Mirafra microptera,Passeriformes,Alaudidae (Larks)
madlar1,Eremopterix hova,Passeriformes,Alaudidae (Larks)
ashlar1,Mirafra ashi,Passeriformes,Alaudidae (Larks)
rewlar1,Mirafra hypermetra,Passeriformes,Alaudidae (Larks)
runlar1,Mirafra africana,Passeriformes,Alaudidae (Larks)
caclar1,Mirafra apiata,Passeriformes,Alaudidae (Larks)
faclar2,Calendulauda africanoides,Passeriformes,Alaudidae (Larks)
ferlar2,Calendulauda burra,Passeriformes,Alaudidae (Larks)
barlar1,Calendulauda barlowi,Passeriformes,Alaudidae (Larks)
dunlar3,Calendulauda erythrochlamys,Passeriformes,Alaudidae (Larks)
rurlar1,Pinarocorys erythropygia,Passeriformes,Alaudidae (Larks)
klblar1,Certhilauda subcoronata,Passeriformes,Alaudidae (Larks)
duplar1,Chersophilus duponti,Passeriformes,Alaudidae (Larks)
gybspl1,Eremopterix verticalis,Passeriformes,Alaudidae (Larks)
rutlar2,Ammomanes phoenicura,Passeriformes,Alaudidae (Larks)
thblar1,Ramphocoris clotbey,Passeriformes,Alaudidae (Larks)
blalar1,Melanocorypha yeltoniensis,Passeriformes,Alaudidae (Larks)
erllar1,Calandrella erlangeri,Passeriformes,Alaudidae (Larks)
sstlar1,Alaudala somalica,Passeriformes,Alaudidae (Larks)
stalar2,Spizocorys starki,Passeriformes,Alaudidae (Larks)
shtlar1,Spizocorys fremantlii,Passeriformes,Alaudidae (Larks)
mallar1,Galerida malabarica,Passeriformes,Alaudidae (Larks)
tawlar1,Galerida deva,Passeriformes,Alaudidae (Larks)
skylar2,Alauda arvensis [japonica Group],Passeriformes,Alaudidae (Larks)
razsky1,Alauda razae,Passeriformes,Alaudidae (Larks)
horlar4,Eremophila alpestris flava,Passeriformes,Alaudidae (Larks)
lark1,Alaudidae sp.,Passeriformes,Alaudidae (Larks)
wermar2,Pseudochelidon sirintarae,Passeriformes,Hirundinidae (Swallows)
bawswa1,Pygochelidon cyanoleuca,Passeriformes,Hirundinidae (Swallows)
whtswa1,Atticora tibialis,Passeriformes,Hirundinidae (Swallows)
purmar,Progne subis,Passeriformes,Hirundinidae (Swallows)
purmar2,Progne subis hesperia,Passeriformes,Hirundinidae (Swallows)
cubmar,Progne cryptoleuca,Passeriformes,Hirundinidae (Swallows)
sinmar1,Progne sinaloae,Passeriformes,Hirundinidae (Swallows)
gybmar,Progne chalybea,Passeriformes,Hirundinidae (Swallows)
soumar,Progne elegans,Passeriformes,Hirundinidae (Swallows)
brcmar1,Progne tapera,Passeriformes,Hirundinidae (Swallows)
conmar1,Riparia congica,Passeriformes,Hirundinidae (Swallows)
banmar1,Riparia cincta,Passeriformes,Hirundinidae (Swallows)
barswa,Hirundo rustica,Passeriformes,Hirundinidae (Swallows)
ethswa1,Hirundo aethiopica,Passeriformes,Hirundinidae (Swallows)
wtbswa1,Hirundo nigrita,Passeriformes,Hirundinidae (Swallows)
pacswa1,Hirundo tahitica,Passeriformes,Hirundinidae (Swallows)
piwswa1,Hirundo leucosoma,Passeriformes,Hirundinidae (Swallows)
grests1,Cecropis cucullata,Passeriformes,Hirundinidae (Swallows)
rucswa2,Cecropis semirufa,Passeriformes,Hirundinidae (Swallows)
rubswa1,Cecropis badia,Passeriformes,Hirundinidae (Swallows)
soaswa2,Petrochelidon spilodera,Passeriformes,Hirundinidae (Swallows)
y00604,Petrochelidon pyrrhonota/fulva,Passeriformes,Hirundinidae (Swallows)
chcswa2,Petrochelidon rufocollaris,Passeriformes,Hirundinidae (Swallows)
whhsaw1,Psalidoprocne albiceps,Passeriformes,Hirundinidae (Swallows)
swallo,Hirundinidae sp.,Passeriformes,Hirundinidae (Swallows)
faifly1,Stenostira scita,Passeriformes,Stenostiridae (Fairy Flycatchers)
x00195,Poecile carolinensis x atricapillus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
eletit2,Periparus elegans,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
cretit2,Lophophanes cristatus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
whwblt3,Melaniparus leucomelas,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
whbtit5,Melaniparus albiventris,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
rettit2,Melaniparus fringillinus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
somtit4,Melaniparus thruppi,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
grytit1,Melaniparus afer,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
yeltit2,Machlolophus holsti,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
y00326,Baeolophus inornatus/ridgwayi,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
bhptit1,Remiz macronyx,Passeriformes,Remizidae (Penduline-Tits)
wcptit1,Remiz coronatus,Passeriformes,Remizidae (Penduline-Tits)
chhtes1,Cettia castaneocoronata,Passeriformes,Scotocercidae (Bush Warblers and Allies)
asistu1,Urosphena squameiceps,Passeriformes,Scotocercidae (Bush Warblers and Allies)
pfbwar1,Urosphena pallidipes,Passeriformes,Scotocercidae (Bush Warblers and Allies)
odedi1,Horornis haddeni,Passeriformes,Scotocercidae (Bush Warblers and Allies)
subwar4,Horornis vulcanius,Passeriformes,Scotocercidae (Bush Warblers and Allies)
abbwar1,Horornis flavolivaceus,Passeriformes,Scotocercidae (Bush Warblers and Allies)
blfwar1,Abroscopus schisticeps,Passeriformes,Scotocercidae (Bush Warblers and Allies)
lottit1,Aegithalos caudatus,Passeriformes,Aegithalidae (Long-tailed Tits)
whctit1,Aegithalos leucogenys,Passeriformes,Aegithalidae (Long-tailed Tits)
sootit1,Aegithalos fuliginosus,Passeriformes,Aegithalidae (Long-tailed Tits)
bkebus,Psaltriparus minimus [melanotis Group],Passeriformes,Aegithalidae (Long-tailed Tits)
eurnut2,Sitta europaea,Passeriformes,Sittidae (Nuthatches)
whbnut1,Sitta victoriae,Passeriformes,Sittidae (Nuthatches)
bnhnut,Sitta pusilla,Passeriformes,Sittidae (Nuthatches)
krunut1,Sitta krueperi,Passeriformes,Sittidae (Nuthatches)
rocnut1,Sitta neumayer,Passeriformes,Sittidae (Nuthatches)
vefnut1,Sitta frontalis,Passeriformes,Sittidae (Nuthatches)
subnut1,Sitta oenochlamys,Passeriformes,Sittidae (Nuthatches)
gianut1,Sitta magna,Passeriformes,Sittidae (Nuthatches)
ruftre4,Certhia nipalensis,Passeriformes,Certhiidae (Treecreepers)
certhi1,Certhia sp.,Passeriformes,Certhiidae (Treecreepers)
runwre4,Campylorhynchus rufinucha [capistratus Group],Passeriformes,Troglodytidae (Wrens)
spowre1,Campylorhynchus gularis,Passeriformes,Troglodytidae (Wrens)
yucwre1,Campylorhynchus yucatanicus,Passeriformes,Troglodytidae (Wrens)
cacwre,Campylorhynchus brunneicapillus,Passeriformes,Troglodytidae (Wrens)
tobwre1,Odontorchilus cinereus,Passeriformes,Troglodytidae (Wrens)
rocwre1,Salpinctes obsoletus [obsoletus Group],Passeriformes,Troglodytidae (Wrens)
canwre,Catherpes mexicanus,Passeriformes,Troglodytidae (Wrens)
navwre1,Hylorchilus navai,Passeriformes,Troglodytidae (Wrens)
perwre1,Cinnycerthia peruana,Passeriformes,Troglodytidae (Wrens)
fulwre1,Cinnycerthia fulva,Passeriformes,Troglodytidae (Wrens)
sohwre1,Pheugopedius spadix,Passeriformes,Troglodytidae (Wrens)
blbwre1,Pheugopedius fasciatoventris,Passeriformes,Troglodytidae (Wrens)
incwre1,Pheugopedius eisenmanni,Passeriformes,Troglodytidae (Wrens)
corwre1,Pheugopedius coraya,Passeriformes,Troglodytidae (Wrens)
rubwre1,Pheugopedius rutilus,Passeriformes,Troglodytidae (Wrens)
banwre1,Thryophilus pleurostictus,Passeriformes,Troglodytidae (Wrens)
carwre,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens)
carwre2,Thryothorus ludovicianus albinucha/subfulvus,Passeriformes,Troglodytidae (Wrens)
supwre1,Cantorchilus superciliaris,Passeriformes,Troglodytidae (Wrens)
bewwre,Thryomanes bewickii,Passeriformes,Troglodytidae (Wrens)
ochwre1,Troglodytes ochraceus,Passeriformes,Troglodytidae (Wrens)
mouwre1,Troglodytes solstitialis,Passeriformes,Troglodytidae (Wrens)
sedwre1,Cistothorus platensis stellaris,Passeriformes,Troglodytidae (Wrens)
merwre1,Cistothorus meridae,Passeriformes,Troglodytidae (Wrens)
marwre2,Cistothorus palustris [plesius Group],Passeriformes,Troglodytidae (Wrens)
whbwre1,Uropsila leucogastra,Passeriformes,Troglodytidae (Wrens)
whbwow1,Henicorhina leucosticta [prostheleuca Group],Passeriformes,Troglodytidae (Wrens)
gbwwre1,Henicorhina leucophrys,Passeriformes,Troglodytidae (Wrens)
nigwre1,Microcerculus philomela,Passeriformes,Troglodytidae (Wrens)
scbwre1,Microcerculus marginatus,Passeriformes,Troglodytidae (Wrens)
scbwre3,Microcerculus marginatus taeniatus/occidentalis,Passeriformes,Troglodytidae (Wrens)
wibwre1,Microcerculus bambla,Passeriformes,Troglodytidae (Wrens)
lobgna1,Ramphocaenus melanurus,Passeriformes,Polioptilidae (Gnatcatchers)
buggna2,Polioptila caerulea [obscura Group],Passeriformes,Polioptilidae (Gnatcatchers)
bktgna,Polioptila melanura,Passeriformes,Polioptilidae (Gnatcatchers)
trogna2,Polioptila plumbea [bilineata Group],Passeriformes,Polioptilidae (Gnatcatchers)
masgna1,Polioptila dumicola,Passeriformes,Polioptilidae (Gnatcatchers)
gnatca1,Polioptila sp.,Passeriformes,Polioptilidae (Gnatcatchers)
whtdip1,Cinclus cinclus,Passeriformes,Cinclidae (Dippers)
amedip,Cinclus mexicanus,Passeriformes,Cinclidae (Dippers)
crsbul1,Pycnonotus leucogrammicus,Passeriformes,Pycnonotidae (Bulbuls)
gyhbul1,Pycnonotus priocephalus,Passeriformes,Pycnonotidae (Bulbuls)
scbbul1,Pycnonotus squamatus,Passeriformes,Pycnonotidae (Bulbuls)
combul2,Pycnonotus barbatus,Passeriformes,Pycnonotidae (Bulbuls)
whcbul2,Pycnonotus leucogenys,Passeriformes,Pycnonotidae (Bulbuls)
sohbul1,Pycnonotus aurigaster,Passeriformes,Pycnonotidae (Bulbuls)
yewbul1,Pycnonotus urostictus,Passeriformes,Pycnonotidae (Bulbuls)
yetbul1,Pycnonotus xantholaemus,Passeriformes,Pycnonotidae (Bulbuls)
yevbul1,Pycnonotus goiavier,Passeriformes,Pycnonotidae (Bulbuls)
litgre2,Eurillas virens,Passeriformes,Pycnonotidae (Bulbuls)
yewgre1,Eurillas latirostris,Passeriformes,Pycnonotidae (Bulbuls)
wesmog1,Arizelocichla tephrolaema,Passeriformes,Pycnonotidae (Bulbuls)
golgre1,Calyptocichla serinus,Passeriformes,Pycnonotidae (Bulbuls)
hongre1,Baeopogon indicator,Passeriformes,Pycnonotidae (Bulbuls)
sjogre1,Baeopogon clamans,Passeriformes,Pycnonotidae (Bulbuls)
prigre1,Chlorocichla prigoginei,Passeriformes,Pycnonotidae (Bulbuls)
norbro1,Phyllastrephus strepitans,Passeriformes,Pycnonotidae (Bulbuls)
toogre1,Phyllastrephus hypochloris,Passeriformes,Pycnonotidae (Bulbuls)
gyhgre1,Phyllastrephus poliocephalus,Passeriformes,Pycnonotidae (Bulbuls)
tingre1,Phyllastrephus debilis,Passeriformes,Pycnonotidae (Bulbuls)
libgre1,Phyllastrephus leucolepis,Passeriformes,Pycnonotidae (Bulbuls)
combri2,Bleda syndactylus,Passeriformes,Pycnonotidae (Bulbuls)
lesbri2,Bleda notatus,Passeriformes,Pycnonotidae (Bulbuls)
wesbeg1,Criniger barbatus,Passeriformes,Pycnonotidae (Bulbuls)
gycbul1,Alophoixus bres,Passeriformes,Pycnonotidae (Bulbuls)
hobbul1,Setornis criniger,Passeriformes,Pycnonotidae (Bulbuls)
habbul1,Tricholestes criniger,Passeriformes,Pycnonotidae (Bulbuls)
buvbul1,Iole crypta,Passeriformes,Pycnonotidae (Bulbuls)
brebul1,Hypsipetes amaurotis,Passeriformes,Pycnonotidae (Bulbuls)
moubul2,Ixos mcclellandii,Passeriformes,Pycnonotidae (Bulbuls)
ashbul1,Hemixos flavala,Passeriformes,Pycnonotidae (Bulbuls)
reubul1,Hypsipetes borbonicus,Passeriformes,Pycnonotidae (Bulbuls)
whhbul1,Hypsipetes thompsoni,Passeriformes,Pycnonotidae (Bulbuls)
goldcr1,Regulus regulus,Passeriformes,Regulidae (Kinglets)
flamec1,Regulus goodfellowi,Passeriformes,Regulidae (Kinglets)
firecr2,Regulus ignicapilla,Passeriformes,Regulidae (Kinglets)
yetwow1,Phylloscopus ruficapilla,Passeriformes,Phylloscopidae (Leaf Warblers)
bcwwar1,Phylloscopus herberti,Passeriformes,Phylloscopidae (Leaf Warblers)
wlwwar,Phylloscopus trochilus,Passeriformes,Phylloscopidae (Leaf Warblers)
comchi3,Phylloscopus collybita [collybita Group],Passeriformes,Phylloscopidae (Leaf Warblers)
eabwar1,Phylloscopus orientalis,Passeriformes,Phylloscopidae (Leaf Warblers)
palwar5,Phylloscopus proregulus,Passeriformes,Phylloscopidae (Leaf Warblers)
pllwar1,Phylloscopus tenellipes,Passeriformes,Phylloscopidae (Leaf Warblers)
eacwar1,Phylloscopus coronatus,Passeriformes,Phylloscopidae (Leaf Warblers)
bllwar1,Phylloscopus reguloides/claudiae/goodsoni,Passeriformes,Phylloscopidae (Leaf Warblers)
sclwar1,Phylloscopus makirensis,Passeriformes,Phylloscopidae (Leaf Warblers)
yebwar2,Seicercus montis,Passeriformes,Phylloscopidae (Leaf Warblers)
anbwar1,Nesillas longicaudata,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
subbrw1,Nesillas lantzii,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
eaowar1,Iduna pallida,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
upcwar1,Hippolais languida,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
melwar1,Hippolais polyglotta,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
mouwar1,Acrocephalus melanopogon,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
bbrwar1,Acrocephalus bistrigiceps,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
grrwar1,Acrocephalus arundinaceus,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
labrew1,Acrocephalus orinus,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
barwar2,Acrocephalus griseldis,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
carrew1,Acrocephalus syrinx,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
narwar1,Acrocephalus rehsei,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
cirwar2,Acrocephalus kerearako,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
cvswar1,Acrocephalus brevipennis,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
maswar1,Acrocephalus newtoni,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
jrswar1,Bradypterus grandis,Passeriformes,Locustellidae (Grassbirds and Allies)
grswar1,Bradypterus graueri,Passeriformes,Locustellidae (Grassbirds and Allies)
chbwar1,Locustella tacsanowskia,Passeriformes,Locustellidae (Grassbirds and Allies)
rubwar1,Locustella mandelli,Passeriformes,Locustellidae (Grassbirds and Allies)
taibuw1,Locustella alishanensis,Passeriformes,Locustellidae (Grassbirds and Allies)
cbbwar1,Locustella castanea,Passeriformes,Locustellidae (Grassbirds and Allies)
gryemt1,Amphilais seebohmi,Passeriformes,Locustellidae (Grassbirds and Allies)
savwar1,Locustella luscinioides,Passeriformes,Locustellidae (Grassbirds and Allies)
fernbi1,Megalurus punctatus,Passeriformes,Locustellidae (Grassbirds and Allies)
rufson1,Megalurus mathewsi,Passeriformes,Locustellidae (Grassbirds and Allies)
bubbus1,Buettikoferella bivittata,Passeriformes,Locustellidae (Grassbirds and Allies)
bisthi1,Megalurulus grosvenori,Passeriformes,Locustellidae (Grassbirds and Allies)
bkcdon,Donacobius atricapilla,Passeriformes,Donacobiidae (Donacobius)
thamno2,Thamnornis chloropetoides,Passeriformes,Bernieridae (Malagasy Warblers)
yeboxy1,Crossleyia xanthophrys,Passeriformes,Bernieridae (Malagasy Warblers)
gyctet1,Xanthomixis cinereiceps,Passeriformes,Bernieridae (Malagasy Warblers)
ranwar1,Randia pseudozosterops,Passeriformes,Bernieridae (Malagasy Warblers)
comjer1,Neomixis tenella,Passeriformes,Cisticolidae (Cisticolas and Allies)
